date,temperature_max,temperature_min,temperature_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_max,wind_speed_mean,relative_humidity_mean,soil_temp_mean,soil_moisture_mean
2007-10-07,29.0,23.5,25.3,2.4,2.4,0.0,15.1,10.0,87,26.2,0.37
2007-10-08,31.2,23.2,26.7,0.6,0.6,0.0,12.1,6.9,81,26.9,0.362
2007-10-09,32.0,23.1,26.8,0.4,0.4,0.0,12.1,9.5,73,26.9,0.344
2007-10-10,30.2,21.4,25.3,0.0,0.0,0.0,11.7,8.5,58,25.9,0.327
2007-10-11,29.4,16.1,23.0,0.0,0.0,0.0,8.2,6.6,55,24.1,0.308
2007-10-12,28.5,16.1,22.1,0.0,0.0,0.0,9.9,6.6,63,23.5,0.293
2007-10-13,28.4,16.1,22.2,0.0,0.0,0.0,15.1,9.9,66,23.6,0.282
2007-10-14,28.1,19.0,23.5,0.0,0.0,0.0,18.6,14.1,72,23.7,0.274
2007-10-15,29.1,20.9,24.5,6.3,6.3,0.0,17.8,13.1,82,24.7,0.307
2007-10-16,27.9,20.4,23.4,1.5,1.5,0.0,11.9,8.0,87,24.2,0.358
2007-10-17,31.1,21.2,25.9,0.7,0.7,0.0,20.3,14.3,80,25.3,0.353
2007-10-18,32.7,23.8,27.4,0.0,0.0,0.0,19.9,13.1,72,26.8,0.337
2007-10-19,29.4,18.3,23.3,0.0,0.0,0.0,12.8,8.4,41,24.1,0.315
2007-10-20,30.0,15.1,22.2,0.0,0.0,0.0,17.4,11.1,56,22.6,0.298
2007-10-21,29.9,18.7,23.8,0.0,0.0,0.0,19.5,13.1,67,24.0,0.285
2007-10-22,24.2,13.2,18.2,13.5,13.5,0.0,30.7,17.8,80,20.8,0.359
2007-10-23,19.5,11.9,14.9,0.0,0.0,0.0,25.7,19.3,46,17.7,0.385
2007-10-24,23.2,10.8,16.5,0.0,0.0,0.0,25.3,15.6,44,17.6,0.354
2007-10-25,19.3,10.5,14.8,0.0,0.0,0.0,17.9,11.9,45,16.9,0.333
2007-10-26,22.0,6.9,14.3,0.0,0.0,0.0,7.9,5.4,56,16.4,0.318
2007-10-27,23.0,9.8,16.1,0.0,0.0,0.0,15.0,11.4,59,17.2,0.306
2007-10-28,23.7,12.6,17.5,0.0,0.0,0.0,17.2,13.8,59,18.5,0.294
2007-10-29,23.2,12.4,17.2,0.0,0.0,0.0,13.0,11.2,57,18.7,0.285
2007-10-30,24.9,11.4,17.9,0.0,0.0,0.0,9.8,6.6,62,19.2,0.276
2007-10-31,26.9,13.3,19.7,0.0,0.0,0.0,8.1,4.2,72,20.0,0.27
2007-11-01,27.5,14.9,20.4,0.0,0.0,0.0,8.0,5.3,74,21.4,0.264
2007-11-02,27.4,14.9,20.6,0.0,0.0,0.0,8.0,5.5,70,21.5,0.259
2007-11-03,27.2,15.7,20.8,0.0,0.0,0.0,9.7,6.7,69,21.6,0.255
2007-11-04,27.4,14.2,21.1,0.0,0.0,0.0,11.5,6.0,67,21.5,0.252
2007-11-05,28.1,16.4,21.7,0.0,0.0,0.0,15.5,11.5,70,22.3,0.248
2007-11-06,22.7,17.5,19.9,0.0,0.0,0.0,20.2,12.3,58,21.2,0.247
2007-11-07,18.5,13.6,15.9,0.0,0.0,0.0,13.2,8.6,30,19.0,0.244
2007-11-08,23.1,12.5,17.8,0.0,0.0,0.0,13.9,9.1,63,18.8,0.242
2007-11-09,28.4,17.4,21.9,0.0,0.0,0.0,13.8,10.5,77,21.8,0.242
2007-11-10,26.9,17.9,21.9,0.0,0.0,0.0,15.6,10.6,78,22.3,0.241
2007-11-11,26.1,18.2,21.8,0.1,0.1,0.0,19.7,12.5,71,22.2,0.241
2007-11-12,26.7,18.5,22.0,1.0,1.0,0.0,12.2,8.8,77,22.4,0.244
2007-11-13,27.7,17.3,22.3,0.1,0.1,0.0,12.2,8.2,81,22.8,0.248
2007-11-14,29.1,20.5,23.9,0.0,0.0,0.0,20.9,14.2,73,23.9,0.248
2007-11-15,20.2,11.7,16.9,0.0,0.0,0.0,25.5,18.3,24,20.2,0.244
2007-11-16,21.2,7.5,14.3,0.0,0.0,0.0,15.6,9.9,45,17.0,0.241
2007-11-17,24.4,14.2,18.7,6.2,6.2,0.0,17.1,9.6,81,18.7,0.255
2007-11-18,24.3,16.6,20.0,91.3,91.3,0.0,14.7,6.1,86,20.4,0.455
2007-11-19,24.2,17.0,19.9,0.3,0.3,0.0,10.5,5.5,90,20.6,0.444
2007-11-20,25.4,18.7,21.0,7.6,7.6,0.0,14.2,10.3,91,21.2,0.438
2007-11-21,26.3,14.7,20.9,14.5,14.5,0.0,23.9,14.8,87,21.4,0.443
2007-11-22,14.3,7.5,10.7,0.0,0.0,0.0,25.8,20.4,50,15.5,0.444
2007-11-23,10.9,7.0,8.7,0.8,0.8,0.0,18.1,13.9,62,12.4,0.44
2007-11-24,9.9,7.5,8.6,19.1,19.1,0.0,22.8,16.9,79,11.4,0.45
2007-11-25,9.8,7.8,8.7,13.4,13.4,0.0,20.2,13.9,92,11.1,0.462
2007-11-26,13.7,4.5,8.5,0.0,0.0,0.0,16.8,12.0,71,10.9,0.454
2007-11-27,14.8,3.8,9.0,0.0,0.0,0.0,11.2,7.7,80,11.0,0.44
2007-11-28,19.6,7.8,13.3,0.0,0.0,0.0,10.5,5.6,82,13.2,0.432
2007-11-29,20.9,11.0,15.4,0.0,0.0,0.0,9.5,6.5,86,15.5,0.424
2007-11-30,21.3,12.3,16.7,0.0,0.0,0.0,11.4,8.2,89,16.7,0.418
2007-12-01,23.3,16.1,19.8,0.0,0.0,0.0,25.6,16.9,83,18.7,0.414
2007-12-02,25.6,18.7,22.3,1.3,1.3,0.0,23.9,15.5,85,20.8,0.413
2007-12-03,17.5,7.5,12.0,0.0,0.0,0.0,24.0,16.2,47,15.4,0.406
2007-12-04,15.6,4.5,9.5,0.0,0.0,0.0,11.0,6.2,60,12.0,0.396
2007-12-05,21.4,7.4,13.2,0.0,0.0,0.0,9.8,7.0,71,13.5,0.388
2007-12-06,20.2,9.6,14.7,0.0,0.0,0.0,13.4,11.6,83,14.6,0.383
2007-12-07,25.5,15.2,20.0,0.2,0.2,0.0,19.2,13.6,88,18.2,0.381
2007-12-08,25.7,20.9,22.5,0.8,0.8,0.0,20.6,14.9,92,21.1,0.385
2007-12-09,25.5,20.6,22.3,1.4,1.4,0.0,16.1,12.3,91,21.7,0.392
2007-12-10,25.0,19.5,21.4,1.5,1.5,0.0,16.1,11.4,93,21.3,0.4
2007-12-11,26.1,20.8,22.6,0.9,0.9,0.0,26.4,18.0,88,21.9,0.4
2007-12-12,21.8,11.7,17.7,4.1,4.1,0.0,13.5,9.6,93,19.6,0.425
2007-12-13,13.8,8.5,11.4,6.6,6.6,0.0,16.5,10.3,87,14.6,0.452
2007-12-14,19.0,13.3,16.3,0.0,0.0,0.0,16.8,11.2,87,16.4,0.432
2007-12-15,19.7,5.3,14.0,17.3,17.3,0.0,28.5,22.2,71,16.1,0.455
2007-12-16,10.1,2.6,5.7,0.0,0.0,0.0,21.5,12.5,53,10.2,0.449
2007-12-17,13.4,0.4,7.2,0.0,0.0,0.0,13.4,9.3,72,9.5,0.438
2007-12-18,21.6,9.8,16.0,0.1,0.1,0.0,17.4,10.5,80,14.5,0.43
2007-12-19,22.7,12.5,17.6,5.1,5.1,0.0,13.9,9.9,92,16.8,0.437
2007-12-20,22.8,11.6,18.0,12.9,12.9,0.0,20.4,13.1,74,17.9,0.473
2007-12-21,20.9,7.3,14.0,0.0,0.0,0.0,16.0,9.4,71,14.9,0.453
2007-12-22,21.4,6.7,16.7,2.1,2.1,0.0,28.1,17.8,65,16.5,0.45
2007-12-23,10.1,1.7,5.3,0.0,0.0,0.0,24.9,11.3,49,10.1,0.438
2007-12-24,14.0,2.1,7.3,0.0,0.0,0.0,10.3,6.2,66,9.4,0.428
2007-12-25,15.1,2.2,8.1,0.0,0.0,0.0,14.2,8.7,69,9.8,0.42
2007-12-26,17.8,7.2,12.0,13.1,13.1,0.0,28.5,16.6,79,12.1,0.437
2007-12-27,14.0,3.1,9.0,0.0,0.0,0.0,16.4,10.9,77,10.8,0.438
2007-12-28,17.3,8.3,12.5,7.4,7.4,0.0,23.2,13.1,73,13.4,0.439
2007-12-29,13.4,5.5,9.2,0.0,0.0,0.0,10.6,6.8,73,11.0,0.435
2007-12-30,18.2,3.3,10.0,0.0,0.0,0.0,9.8,6.8,73,10.6,0.43
2007-12-31,21.1,5.9,12.4,0.0,0.0,0.0,22.7,12.6,68,11.9,0.423
2008-01-01,11.6,4.8,8.2,0.0,0.0,0.0,21.8,17.3,36,10.5,0.413
2008-01-02,8.1,1.7,4.4,0.0,0.0,0.0,19.4,13.9,40,7.5,0.405
2008-01-03,7.7,-1.1,2.7,0.0,0.0,0.0,12.5,10.2,59,5.9,0.4
2008-01-04,16.9,2.9,10.7,0.0,0.0,0.0,21.6,14.7,78,9.8,0.397
2008-01-05,22.4,13.9,17.7,0.7,0.7,0.0,23.1,15.8,87,15.1,0.398
2008-01-06,24.3,16.9,19.5,0.1,0.1,0.0,24.3,18.0,86,17.6,0.397
2008-01-07,24.4,18.2,20.8,1.2,1.2,0.0,31.1,22.1,87,19.0,0.4
2008-01-08,23.4,12.6,19.2,7.0,7.0,0.0,21.4,17.5,79,18.8,0.428
2008-01-09,18.7,9.7,14.1,0.0,0.0,0.0,16.2,8.4,63,15.9,0.432
2008-01-10,20.2,10.2,17.0,0.4,0.4,0.0,20.2,13.9,69,17.0,0.416
