h3_index,date,count,elevation,elevation_std
874468428ffffff,2022-11-02,1,112.0,0.5671870671813082
874468510ffffff,2020-11-14,6,52.0,-1.982643013926966
874468510ffffff,2021-11-27,33,52.0,-1.982643013926966
874468514ffffff,2019-11-23,9,40.0,-2.492609030148621
874468514ffffff,2020-10-17,6,40.0,-2.492609030148621
874468514ffffff,2021-09-25,25,40.0,-2.492609030148621
874468514ffffff,2021-11-27,6,40.0,-2.492609030148621
874468526ffffff,2018-06-23,9,40.0,-2.492609030148621
874468526ffffff,2022-06-12,3,40.0,-2.492609030148621
874468532ffffff,2019-06-22,2,39.0,-2.535106198167092
874468532ffffff,2019-11-23,2,39.0,-2.535106198167092
874468532ffffff,2020-10-17,6,39.0,-2.535106198167092
874468533ffffff,2018-06-23,18,44.0,-2.3226203580747358
874468533ffffff,2018-11-10,34,44.0,-2.3226203580747358
874468533ffffff,2019-06-22,12,44.0,-2.3226203580747358
874468533ffffff,2019-11-23,22,44.0,-2.3226203580747358
874468533ffffff,2020-10-17,22,44.0,-2.3226203580747358
874468533ffffff,2020-11-14,8,44.0,-2.3226203580747358
874468533ffffff,2021-06-12,6,44.0,-2.3226203580747358
874468533ffffff,2021-11-27,17,44.0,-2.3226203580747358
874468533ffffff,2022-06-25,10,44.0,-2.3226203580747358
874468533ffffff,2022-11-02,11,44.0,-2.3226203580747358
874468535ffffff,2022-06-12,1,42.0,-2.4076146941116785
874468801ffffff,2019-10-12,2,58.0,-1.7276600058161387
874468801ffffff,2019-10-27,12,58.0,-1.7276600058161387
874468801ffffff,2019-11-24,4,58.0,-1.7276600058161387
874468801ffffff,2019-12-07,18,58.0,-1.7276600058161387
874468801ffffff,2020-02-01,6,58.0,-1.7276600058161387
874468801ffffff,2020-06-11,7,58.0,-1.7276600058161387
874468801ffffff,2021-09-18,1,58.0,-1.7276600058161387
874468801ffffff,2021-10-16,1,58.0,-1.7276600058161387
87446882affffff,2018-12-01,10,67.0,-1.3451854936498975
87446882affffff,2019-02-23,3,67.0,-1.3451854936498975
87446882affffff,2019-09-28,33,67.0,-1.3451854936498975
87446882affffff,2019-10-12,37,67.0,-1.3451854936498975
87446882affffff,2019-10-27,59,67.0,-1.3451854936498975
87446882affffff,2019-11-24,26,67.0,-1.3451854936498975
87446882affffff,2019-12-07,13,67.0,-1.3451854936498975
87446882affffff,2020-02-01,9,67.0,-1.3451854936498975
87446882affffff,2020-04-07,31,67.0,-1.3451854936498975
87446882affffff,2020-06-11,28,67.0,-1.3451854936498975
87446882affffff,2020-08-22,23,67.0,-1.3451854936498975
87446882affffff,2020-12-05,5,67.0,-1.3451854936498975
87446882affffff,2021-07-18,34,67.0,-1.3451854936498975
87446882affffff,2021-09-18,45,67.0,-1.3451854936498975
87446882affffff,2021-10-16,64,67.0,-1.3451854936498975
87446882affffff,2022-05-28,20,67.0,-1.3451854936498975
87446882affffff,2022-08-27,54,67.0,-1.3451854936498975
87446882affffff,2022-09-24,9,67.0,-1.3451854936498975
874468858ffffff,2018-11-03,13,84.0,-0.6227336373358864
874468858ffffff,2022-06-04,5,84.0,-0.6227336373358864
874468858ffffff,2023-03-25,1,84.0,-0.6227336373358864
874468858ffffff,2023-04-22,18,84.0,-0.6227336373358864
87446885cffffff,2018-11-03,42,97.0,-0.07027045309576034
87446885cffffff,2021-06-26,23,97.0,-0.07027045309576034
87446885cffffff,2021-11-13,40,97.0,-0.07027045309576034
87446885cffffff,2022-06-04,40,97.0,-0.07027045309576034
87446885cffffff,2023-03-25,12,97.0,-0.07027045309576034
87446885cffffff,2023-04-22,18,97.0,-0.07027045309576034
87446885cffffff,2024-02-24,3,97.0,-0.07027045309576034
87446885cffffff,2024-03-23,14,97.0,-0.07027045309576034
8744688e2ffffff,2018-04-28,4,93.0,-0.2402591251696453
8744688e2ffffff,2018-07-14,35,93.0,-0.2402591251696453
8744688e2ffffff,2018-10-28,52,93.0,-0.2402591251696453
