date,has_mushroom,photo_count,species_count,temperature_max,temperature_min,temperature_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_max,wind_speed_mean,relative_humidity_mean,soil_temp_mean,soil_moisture_mean,rain_1,rain_3,rain_7,temp_range,seasonal_sin,seasonal_cos
2018-01-01,0,0,0,3.3,-1.7,0.8,0.0,0.0,0.0,21.1,17.6,45,6.1,0.46,0.0,0.0,0.0,5.0,0.017201575418260506,0.9998520419557735
2018-01-02,0,0,0,0.8,-2.9,-1.1,1.3,0.1,0.84,14.8,11.6,48,3.8,0.451,0.1,0.1,0.1,3.7,0.03439806061360801,0.9994082116062598
2018-01-03,0,0,0,6.4,-4.8,0.0,0.1,0.0,0.07,14.7,11.2,57,3.6,0.444,0.0,0.1,0.1,11.2,0.051584366869408364,0.9986686402879997
2018-01-04,0,0,0,10.0,-3.1,3.2,0.0,0.0,0.0,9.9,7.2,63,4.4,0.435,0.0,0.1,0.1,13.1,0.06875540848113941,0.9976335468520451
2018-01-05,0,0,0,12.0,2.9,6.7,0.0,0.0,0.0,10.1,7.4,62,7.8,0.424,0.0,0.0,0.1,9.1,0.08590610426133272,0.9963032375991965
2018-01-06,1,3,0,16.4,1.8,9.1,0.0,0.0,0.0,15.5,10.1,76,9.1,0.414,0.0,0.0,0.1,14.599999999999998,0.10303137904317879,0.9946781061893646
2018-01-07,1,4,0,21.0,9.8,14.8,9.0,9.0,0.0,19.9,12.4,87,12.5,0.419,9.0,9.0,9.1,11.2,0.1201261651823505,0.9927586335250793
2018-01-08,0,0,0,16.8,8.4,13.5,3.4,3.4,0.0,24.0,16.4,79,14.1,0.477,3.4,12.4,12.5,8.4,0.13718540405660057,0.9905453876091833
2018-01-09,0,0,0,15.1,6.5,10.6,0.0,0.0,0.0,9.9,6.1,87,11.8,0.454,0.0,12.4,12.4,8.6,0.1542040475626894,0.988039023376751
2018-01-10,0,0,0,16.5,10.8,13.6,0.3,0.3,0.0,17.6,9.9,90,13.3,0.449,0.3,3.6999999999999997,12.7,5.699999999999999,0.17117705961019986,0.985240282501282
2018-01-11,0,0,0,18.0,4.2,13.7,13.5,13.5,0.0,32.6,15.6,86,14.2,0.476,13.5,13.8,26.2,13.8,0.18809941761179758,0.9821499931752291
2018-01-12,0,0,0,7.8,-0.6,3.5,0.0,0.0,0.0,28.7,20.8,47,8.3,0.479,0.0,13.8,26.2,8.4,0.20496611396949532,0.9787690698649216
2018-01-13,1,2,0,9.5,-0.6,3.9,0.0,0.0,0.0,12.8,10.7,55,7.1,0.464,0.0,13.5,26.2,10.1,0.22177215755648186,0.975098513039961
2018-01-14,1,5,0,11.0,-0.9,4.5,0.0,0.0,0.0,11.3,8.5,64,6.8,0.453,0.0,0.0,17.2,11.9,0.23851257519407648,0.9711394088771653
2018-01-15,0,0,0,17.7,4.0,10.4,1.3,1.3,0.0,17.2,11.1,77,9.2,0.446,1.3,1.3,15.1,13.7,0.2551824131233728,0.9668929289391521
2018-01-16,0,0,0,11.3,-3.3,0.1,8.2,5.3,2.03,29.9,21.6,77,5.6,0.476,5.3,6.6,20.4,14.600000000000001,0.2717767384711357,0.9623603298276545
2018-01-17,0,0,0,2.9,-7.7,-3.0,0.0,0.0,0.0,18.2,12.4,48,0.8,0.466,0.0,6.6,20.099999999999998,10.6,0.2882906407095177,0.9575429528116719
2018-01-18,0,0,0,3.1,-5.2,-0.6,0.0,0.0,0.0,11.2,5.3,56,1.7,0.456,0.0,5.3,6.6,8.3,0.3047192331091634,0.9524422234305676
2018-01-19,0,0,0,14.4,3.3,8.4,1.0,1.0,0.0,18.7,10.7,72,7.1,0.454,1.0,1.0,7.6,11.100000000000001,0.321057654185271,0.9470596510722283
2018-01-20,0,0,0,21.3,12.4,16.2,3.2,3.2,0.0,21.9,12.3,92,12.7,0.47,3.2,4.2,10.8,8.9,0.3373010691361842,0.9413968285264122
2018-01-21,0,0,0,22.9,16.4,19.0,3.1,3.1,0.0,27.5,18.9,91,16.4,0.483,3.1,7.300000000000001,13.9,6.5,0.3534446712740877,0.9354554315134164
2018-01-22,0,0,0,17.6,6.8,14.2,1.7,1.7,0.0,22.5,15.5,60,15.5,0.482,1.7,8.0,14.299999999999999,10.8,0.3694836834473831,0.9292372181882051
2018-01-23,0,0,0,15.3,3.4,9.2,0.0,0.0,0.0,13.0,9.7,50,10.7,0.457,0.0,4.8,9.0,11.9,0.38541335945432564,0.9227440286201427
2018-01-24,0,0,0,16.1,3.5,9.3,0.0,0.0,0.0,12.0,8.1,59,10.4,0.44,0.0,1.7,9.0,12.600000000000001,0.4012289854475009,0.9159777842484877
2018-01-25,0,0,0,15.3,1.3,8.5,0.0,0.0,0.0,13.3,10.2,68,9.2,0.424,0.0,0.0,9.0,14.0,0.4169258813287287,0.908940487313808
2018-01-26,0,0,0,17.8,8.3,13.8,7.7,7.7,0.0,16.4,12.1,87,12.5,0.426,7.7,7.7,15.7,9.5,0.4324994021339788,0.901634220265486
2018-01-27,1,4,0,20.7,13.4,16.4,7.0,7.0,0.0,14.5,8.6,95,15.4,0.494,7.0,14.7,19.5,7.299999999999999,0.44794493940789115,0.8940611451454876
2018-01-28,1,10,0,19.7,10.8,15.1,0.0,0.0,0.0,17.1,12.4,84,15.3,0.472,0.0,14.7,16.4,8.899999999999999,0.4632579225674917,0.88622350294858
2018-01-29,0,0,0,15.9,5.4,10.7,0.0,0.0,0.0,22.0,14.3,54,12.4,0.454,0.0,7.0,14.7,10.5,0.4784338202547012,0.8781236129591848
2018-01-30,0,0,0,14.9,3.1,8.6,0.0,0.0,0.0,12.7,10.1,58,11.0,0.438,0.0,0.0,14.7,11.8,0.49346814167723735,0.8697638720650646
2018-01-31,0,0,0,20.1,5.8,13.0,0.0,0.0,0.0,21.5,14.2,75,12.1,0.425,0.0,0.0,14.7,14.3,0.5083564379375122,0.8611467540480452
2018-02-01,0,0,0,24.0,13.4,18.6,0.0,0.0,0.0,25.0,14.0,74,16.0,0.416,0.0,0.0,14.7,10.6,0.5230943033491326,0.8522748088519838
2018-02-02,0,0,0,16.8,10.0,11.5,0.0,0.0,0.0,22.8,15.8,47,14.0,0.407,0.0,0.0,7.0,6.800000000000001,0.5376773767406141,0.8431506618282
2018-02-03,0,0,0,14.2,7.2,10.2,6.5,6.5,0.0,11.5,9.5,74,11.6,0.423,6.5,6.5,6.5,6.999999999999999,0.5521013427459208,0.8337770129585915
2018-02-04,0,0,0,20.2,11.5,15.8,1.1,1.1,0.0,15.3,8.4,90,14.9,0.428,1.1,7.6,7.6,8.7,0.5663619330814524,0.8241566360566663
2018-02-05,0,0,0,17.9,9.4,13.4,0.6,0.6,0.0,14.9,10.8,81,14.2,0.429,0.6,8.2,8.2,8.499999999999998,0.580454927809098,0.8142923779467267
2018-02-06,0,0,0,23.3,13.5,18.0,14.4,14.4,0.0,20.9,11.0,95,16.2,0.477,14.4,16.1,22.6,9.8,0.5943761565849831,0.804187157621448
2018-02-07,0,0,0,13.6,5.5,7.4,26.1,26.1,0.0,22.5,18.1,94,11.6,0.502,26.1,41.1,48.7,8.1,0.6081214998935418,0.7938439653781019
2018-02-08,0,0,0,15.3,2.9,9.4,0.2,0.2,0.0,14.0,9.2,77,11.2,0.483,0.2,40.7,48.900000000000006,12.4,0.6216868902665479,0.7832658619336791
2018-02-09,0,0,0,21.2,10.6,15.6,8.6,8.6,0.0,16.7,9.1,86,14.6,0.478,8.6,34.9,57.5,10.6,0.6350683134867438,0.7724559775191742
2018-02-10,0,0,0,20.6,9.4,16.6,29.6,29.6,0.0,18.8,8.9,96,16.6,0.512,29.6,38.4,80.6,11.200000000000001,0.6482618097757122,0.7614175109532997
2018-02-11,0,0,0,9.2,3.2,5.5,1.8,1.8,0.0,22.0,18.4,75,10.4,0.494,1.8,39.99999999999999,81.30000000000001,5.999999999999999,0.6612634749656386,0.7501537286959042
2018-02-12,0,0,0,10.2,1.7,5.4,0.1,0.1,0.0,20.4,13.5,77,8.2,0.484,0.1,31.5,80.8,8.5,0.6740694616546162,0.7386679638813748
2018-02-13,0,0,0,12.4,6.1,9.2,10.3,10.3,0.0,10.7,8.0,91,9.4,0.495,10.3,12.200000000000001,76.7,6.300000000000001,0.6866759803451553,0.726963615332308
2018-02-14,0,0,0,25.7,11.6,19.0,0.5,0.5,0.0,22.3,11.9,90,14.9,0.5,0.5,10.9,51.1,14.1,0.6990793005655562,0.7150441465537444
2018-02-15,1,15,0,25.7,19.3,21.5,1.1,1.1,0.0,25.4,17.3,86,19.1,0.485,1.1,11.9,52.0,6.399999999999999,0.7112757519738152,0.7029130847082616
2018-02-16,0,0,0,24.9,18.6,21.4,1.3,1.3,0.0,21.7,14.0,85,20.1,0.474,1.3,2.9000000000000004,44.7,6.299999999999997,0.7232617254437387,0.6905740195722294
2018-02-17,1,12,0,23.5,15.4,18.5,7.8,7.8,0.0,20.5,9.5,92,19.0,0.486,7.8,10.2,22.900000000000002,8.1,0.7350336741329412,0.6780306024735382
2018-02-18,1,5,0,23.8,15.3,18.8,0.7,0.7,0.0,21.4,13.8,89,18.4,0.476,0.7,9.8,21.8,8.5,0.746588114532413,0.6652865452111116
2018-02-19,1,13,0,25.2,18.4,21.2,7.8,7.8,0.0,27.8,21.6,86,20.3,0.479,7.8,16.3,29.500000000000004,6.800000000000001,0.757921627497347,0.6523456189565258
2018-02-20,0,0,0,24.5,19.8,21.7,7.6,7.6,0.0,27.6,20.3,92,20.7,0.496,7.6,16.099999999999998,26.8,4.699999999999999,0.7690308592589181,0.6392116531380588
2018-02-21,0,0,0,21.3,11.6,18.4,77.5,77.5,0.0,21.2,13.0,98,19.5,0.511,77.5,92.9,103.8,9.700000000000001,0.7799125224167177,0.6258885343075018
2018-02-22,0,0,0,21.0,11.9,16.5,37.2,37.2,0.0,14.0,8.0,97,16.7,0.503,37.2,122.30000000000001,139.9,9.1,0.7905633969115481,0.612380204990065
2018-02-23,0,0,0,25.5,17.0,21.1,1.6,1.6,0.0,21.2,11.3,91,19.4,0.499,1.6,116.3,140.2,8.5,0.8009803309782905,0.5986906625177215
2018-02-24,1,31,0,26.0,19.8,22.3,9.1,9.1,0.0,33.0,18.7,89,21.2,0.498,9.1,47.900000000000006,141.5,6.199999999999999,0.8111602420785621,0.5848239578463322
2018-02-25,1,18,0,20.2,12.1,15.8,41.0,41.0,0.0,19.8,11.9,98,17.8,0.508,41.0,51.7,181.8,8.1,0.821100117812889,0.5707841943569038
2018-02-26,1,6,0,20.3,11.9,15.8,0.0,0.0,0.0,13.3,10.1,85,17.3,0.487,0.0,50.1,174.0,8.4,0.8307970168121247,0.5565755266413304
2018-02-27,1,2,0,25.5,14.8,19.9,1.4,1.4,0.0,27.3,16.6,88,18.7,0.474,1.4,42.4,167.79999999999998,10.7,0.8402480696078469,0.5422021592729845
2018-02-28,1,29,0,26.7,21.3,23.2,0.2,0.2,0.0,27.4,18.6,83,21.8,0.47,0.2,1.5999999999999999,90.5,5.399999999999999,0.8494504794814806,0.527668345562516
2018-03-01,1,9,0,23.3,15.5,20.0,1.4,1.4,0.0,27.8,16.0,73,20.8,0.458,1.4,3.0,54.7,7.800000000000001,0.8584015232918917,0.5129783862992281
2018-03-02,0,0,0,20.3,12.5,16.3,0.0,0.0,0.0,16.4,10.3,80,18.2,0.446,0.0,1.5999999999999999,53.1,7.800000000000001,0.8670985522812081,0.49813662847840556
2018-03-03,1,6,0,20.8,11.6,16.5,0.0,0.0,0.0,15.1,11.7,71,17.1,0.434,0.0,1.4,44.0,9.200000000000001,0.8755389928586301,0.4831474640149688
2018-03-04,1,6,0,22.3,17.3,19.6,5.0,5.0,0.0,20.1,15.7,90,19.1,0.447,5.0,5.0,8.0,5.0,0.8837203473619977,0.4680153284438345
2018-03-05,0,0,0,24.9,15.6,20.9,8.7,8.7,0.0,24.1,14.5,90,20.7,0.47,8.7,13.7,16.7,9.299999999999999,0.8916401947968874,0.45274469960737107
2018-03-06,0,0,0,20.6,11.8,15.2,3.4,3.4,0.0,21.7,13.6,51,17.8,0.484,3.4,17.099999999999998,18.7,8.8,0.8992961915530253,0.4373400963303323
2018-03-07,0,0,0,15.7,7.9,11.7,0.0,0.0,0.0,18.0,12.4,46,15.0,0.457,0.0,12.1,18.5,7.799999999999999,0.9066860720977985,0.4218060770826634
2018-03-08,1,1,0,17.1,8.4,11.9,0.0,0.0,0.0,13.6,10.5,59,14.2,0.44,0.0,3.4,17.1,8.700000000000001,0.9138076496466615,0.40614723863057883
2018-03-09,0,0,0,20.2,8.8,15.4,0.4,0.4,0.0,21.7,12.7,72,14.6,0.429,0.4,0.4,17.5,11.399999999999999,0.9206588168102428,0.3903682146763026
2018-03-10,1,23,4,25.3,16.9,20.5,4.0,4.0,0.0,17.7,11.0,89,19.0,0.437,4.0,4.4,21.5,8.400000000000002,0.9272375462179537,0.374473674486883
2018-03-11,0,0,0,22.8,14.8,20.0,2.6,2.6,0.0,22.3,17.0,81,20.1,0.437,2.6,7.0,19.1,8.0,0.9335418911179212,0.35846832151248087
2018-03-12,1,8,0,16.9,8.4,12.3,0.0,0.0,0.0,21.7,13.6,57,16.1,0.419,0.0,6.6,10.4,8.499999999999998,0.9395699859530622,0.342356891994542
2018-03-13,1,2,0,18.7,6.5,12.6,0.0,0.0,0.0,11.2,7.3,63,14.9,0.402,0.0,2.6000000000000005,7.0,12.2,0.945320046913132,0.3261441535642696
2018-03-14,1,8,0,19.1,6.9,13.1,0.0,0.0,0.0,12.4,8.5,63,15.1,0.384,0.0,0.0,7.0,12.200000000000001,0.9507903724625832,0.3098349038318025
2018-03-15,1,1,0,21.4,8.7,15.9,0.4,0.4,0.0,21.7,13.2,77,15.5,0.372,0.4,0.40000000000000047,7.3999999999999995,12.7,0.9559793438440766,0.2934339689665273
2018-03-16,1,3,0,25.1,17.9,21.2,4.3,4.3,0.0,18.4,14.0,88,19.5,0.39,4.3,4.7,11.3,7.200000000000003,0.9608854255574977,0.27694620226893646
2018-03-17,1,8,0,26.3,18.7,21.7,3.4,3.4,0.0,15.7,10.0,90,21.1,0.404,3.4,8.1,10.7,7.600000000000001,0.9655071658143364,0.2603764827344581
2018-03-18,1,1,0,25.7,20.5,22.5,0.6,0.6,0.0,15.5,7.1,89,21.9,0.4,0.6,8.299999999999999,8.7,5.199999999999999,0.969843196967294,0.24372971360968387
2018-03-19,1,13,0,25.7,17.2,21.7,0.3,0.3,0.0,20.6,13.8,63,21.9,0.434,0.3,4.3,9.0,8.5,0.9738922359149924,0.22701082094141845
2018-03-20,0,0,0,19.4,10.8,14.8,0.0,0.0,0.0,20.8,14.4,55,17.9,0.418,0.0,0.8999999999999999,9.0,8.599999999999998,0.9776530844816641,0.21022475211898356
2018-03-21,0,0,0,22.0,8.2,15.1,0.0,0.0,0.0,10.2,7.9,60,16.4,0.392,0.0,0.3,9.0,13.8,0.981124629771712,0.19337647441020586
2018-03-22,0,0,0,22.3,9.9,16.3,0.0,0.0,0.0,22.7,12.8,69,17.0,0.372,0.0,0.0,8.6,12.4,0.984305844499033,0.17647097349152166
2018-03-23,0,0,0,24.2,13.9,19.6,0.0,0.0,0.0,28.2,18.3,76,18.7,0.358,0.0,0.0,4.3,10.299999999999999,0.9871957872910085,0.15951325197263655
2018-03-24,1,10,3,25.7,19.0,22.3,0.8,0.8,0.0,27.4,18.1,81,21.2,0.351,0.8,0.8,1.7,6.699999999999999,0.9897936029670716,0.14250832791617085
2018-03-25,0,0,0,27.3,18.2,22.1,0.2,0.2,0.0,23.5,13.1,82,21.8,0.345,0.2,1.0,1.3,9.100000000000001,0.992098522791769,0.12546123335273648
2018-03-26,1,4,0,26.6,20.3,23.0,0.1,0.1,0.0,28.4,21.0,82,22.8,0.338,0.1,1.1,1.1,6.300000000000001,0.9941098647022418,0.10837701279187607
2018-03-27,0,0,0,24.7,20.6,22.6,2.4,2.4,0.0,26.1,18.8,85,22.6,0.342,2.4,2.7,3.5,4.099999999999998,0.9958270335100595,0.09126072172931188
2018-03-28,0,0,0,22.8,19.3,20.9,54.3,54.3,0.0,22.1,15.0,96,21.2,0.432,54.3,56.8,57.8,3.5,0.9972495210773451,0.07411742515094435
