date,photo_count,temp,min,max,precip
2024-11-15,2,13.1,11.0,17.0,0.0
2024-11-14,15,21.1,18.0,24.0,0.0
2024-11-12,4,19.4,18.0,22.0,0.0
2024-11-11,6,21.3,21.0,23.0,0.2
2024-11-10,4,23.3,19.0,28.0,3.3
2024-11-09,20,25.4,21.0,26.0,0.0
2024-11-07,9,24.1,23.0,26.0,0.0
2024-11-06,1,20.7,19.0,22.0,25.3
2024-11-05,3,26.6,26.0,27.0,3.7
2024-11-03,3,23.4,22.0,24.0,13.9
2024-11-02,5,24.0,22.0,29.0,0.0
2024-11-01,1,24.4,22.0,31.0,0.5
2024-10-29,1,26.4,17.0,32.0,0.0
2024-10-25,6,24.1,17.0,32.0,0.0
2024-10-24,7,22.7,14.0,33.0,0.0
2024-10-23,4,24.1,16.0,32.0,0.0
2024-10-19,2,20.0,14.0,29.0,0.0
2024-10-16,2,,,,
2024-10-15,1,,,,
2024-10-11,9,,,,
2024-10-10,7,,,,
2024-10-09,1,,,,
2024-10-08,15,,,,
2024-10-07,14,,,,
2024-10-06,10,,,,
2024-10-05,8,,,,
2024-09-28,9,,,,
2024-09-27,3,,,,
2024-09-26,28,25.4,24.0,27.0,0.0
2024-09-22,3,26.2,24.0,29.0,0.0
2024-09-21,2,,,,
2024-09-19,4,28.6,27.0,30.0,0.0
2024-09-16,1,28.0,26.0,30.0,0.0
2024-09-15,8,29.5,26.0,35.0,0.0
2024-09-14,2,29.2,27.0,36.0,0.0
2024-09-13,16,23.6,20.0,27.0,0.2
2024-09-09,3,22.9,20.0,28.0,0.0
2024-09-08,3,25.2,21.0,33.0,0.0
2024-09-07,28,25.1,21.0,32.0,16.2
2024-09-06,13,24.9,24.0,26.0,16.0
2024-09-05,18,26.6,25.0,32.0,9.7
2024-09-03,4,28.2,24.0,34.0,0.0
2024-09-02,13,27.8,24.0,33.0,14.5
2024-09-01,6,26.9,24.0,33.0,1.8
2024-08-31,7,26.9,25.0,32.0,1.0
2024-08-30,3,,,,
2024-08-29,9,27.1,25.0,29.0,0.0
2024-08-28,6,27.9,24.0,34.0,1.0
2024-08-27,3,26.8,24.0,32.0,1.8
2024-08-23,4,31.0,29.0,33.0,0.0
2024-08-22,3,30.8,30.0,32.0,0.0
2024-08-21,4,31.6,30.0,35.0,0.0
2024-08-19,2,31.4,30.0,33.0,0.0
2024-08-18,11,31.8,30.0,33.0,0.0
2024-08-17,3,31.2,29.0,33.0,0.0
2024-05-17,41,21.1,20.0,22.0,29.5
2024-05-16,23,25.9,25.0,28.0,0.0
2024-05-15,30,23.1,21.0,28.0,0.0
2024-05-14,11,19.8,19.0,21.0,51.7
2024-05-13,46,25.9,24.0,27.0,6.8
2024-05-12,1,22.4,21.0,24.0,0.0
2024-05-11,13,25.0,23.0,28.0,0.0
2024-05-10,22,25.6,23.0,27.0,0.0
2024-05-09,23,25.5,24.0,27.0,0.0
2024-05-08,29,26.1,25.0,28.0,0.0
2024-05-07,27,25.9,26.0,26.0,0.0
2024-05-06,22,23.1,23.0,24.0,20.7
2024-05-05,4,24.7,24.0,26.0,0.0
2024-05-04,43,21.8,21.0,24.0,21.3
